0,0,0,0,YYYYY,MM,DD,hh,mm
430,1,0,1,2020,06,03,19,37
431,1,0,1,2020,06,03,19,44
432,1,0,1,2020,06,03,19,47
433,1,0,1,2020,06,03,19,48
434,1,0,1,2020,06,03,19,49
435,1,0,1,2020,06,03,19,57
436,1,0,1,2020,06,03,22,50
436,1,0,1,2020,06,04,17,40
436,1,0,1,2020,06,04,17,40
437,1,0,1,2020,06,04,17,43
437,1,0,1,2020,06,04,17,43
437,1,0,1,2020,06,04,17,43
437,1,0,1,2020,06,04,17,43
438,1,0,1,2020,06,04,18,23
439,1,0,1,2020,06,04,18,26
439,1,0,1,2020,06,05,04,21
439,1,0,1,2020,06,05,04,21
439,1,0,1,2020,06,06,04,28
440,1,0,1,2020,06,06,16,26
440,1,0,1,2020,06,07,21,17
440,1,0,1,2020,06,07,21,17
440,1,0,1,2020,06,10,22,47
440,1,0,1,2020,06,10,22,47
440,1,0,1,2020,06,10,22,47
440,2,1,1,2020,06,17,23,47
440,2,1,1,2020,06,18,02,24
440,5,2,3,2020,06,18,03,35
441,5,2,3,2020,06,20,02,18
441,5,2,3,2020,06,20,02,18
442,5,2,3,2020,06,20,02,46
442,5,2,3,2020,06,20,02,46
442,5,2,3,2020,06,20,02,59
442,5,2,3,2020,06,20,02,59
443,5,2,3,2020,06,20,15,16
444,5,2,3,2020,06,20,15,17
445,5,2,3,2020,06,20,17,32
445,5,2,3,2020,06,21,02,54
445,5,2,3,2020,06,21,20,51
446,5,2,3,2020,06,21,21,38
447,5,2,3,2020,06,21,21,39
448,5,2,3,2020,06,21,21,41
449,5,2,3,2020,06,21,21,43
450,5,2,3,2020,06,21,22,47
451,5,2,3,2020,06,21,22,49
452,5,2,3,2020,06,21,22,52
453,5,2,3,2020,06,21,23,27
454,5,2,3,2020,06,21,23,37
455,5,2,3,2020,06,21,23,42
456,5,2,3,2020,06,21,23,44
457,5,2,3,2020,06,21,23,55
458,5,2,3,2020,06,22,00,58
458,5,2,3,2020,06,22,00,58
459,5,2,3,2020,06,22,00,59
459,5,2,3,2020,06,22,00,59
459,5,2,3,2020,06,22,00,59
459,5,2,3,2020,06,22,01,26
460,5,2,3,2020,06,22,14,58
461,5,2,3,2020,06,22,15,01
462,5,2,3,2020,06,22,15,05
463,5,2,3,2020,06,22,15,11
464,5,2,3,2020,06,22,15,22
465,5,2,3,2020,06,22,19,44
466,5,2,3,2020,06,22,19,45
467,5,2,3,2020,06,22,20,12
468,5,2,3,2020,06,22,20,25
469,5,2,3,2020,06,22,20,27
470,5,2,3,2020,06,22,20,31
470,5,2,3,2020,06,23,00,45
470,5,2,3,2020,06,23,00,45
471,5,2,3,2020,06,23,00,46
472,5,2,3,2020,06,23,03,03
472,5,2,3,2020,06,23,03,03
473,5,2,3,2020,06,23,14,10
474,5,2,3,2020,06,23,16,18
475,5,2,3,2020,06,23,17,54
477,5,2,3,2020,06,23,20,57
478,5,2,3,2020,06,23,21,13
478,5,2,3,2020,06,24,01,57
478,5,2,3,2020,06,24,01,57
479,5,2,3,2020,06,25,00,14
479,5,2,3,2020,06,25,00,26
480,5,2,3,2020,06,25,18,11
481,5,2,3,2020,06,25,18,45
482,5,2,3,2020,06,25,19,10
483,5,2,3,2020,06,25,22,00
